Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
HHHHU,Wealthbridge Acquisition Limited,10.05,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/hhhhu
HHHHW,Wealthbridge Acquisition Limited,0.0801,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/hhhhw
WB,Weibo Corporation,43.21,$9.62B,2014,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wb
WW,Weight Watchers International Inc,18.85,$1.26B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ww
WEBK,"Wellesley Bancorp, Inc.",32.65,$83.28M,2012,Finance,Banks,https://www.nasdaq.com/symbol/webk
WEN,Wendy&#39;s Company (The),19.37,$4.47B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/wen
WERN,"Werner Enterprises, Inc.",30.16,$2.11B,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/wern
WSBC,"WesBanco, Inc.",36.31,$1.98B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wsbc
WTBA,West Bancorporation,21.01,$343.68M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wtba
WABC,Westamerica Bancorporation,60.7,$1.63B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wabc
WSTL,"Westell Technologies, Inc.",1.75,$27.19M,1995,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/wstl
WINC,Western Asset Short Duration Income ETF,25.84,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/winc
WBND,Western Asset Total Return ETF,27.01,$32.41M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/wbnd
WDC,Western Digital Corporation,40.04,$11.73B,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/wdc
WNEB,"Western New England Bancorp, Inc.",8.96,$241.5M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/wneb
WPRT,Westport Fuel Systems Inc,2.53,$337.45M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/wprt
WWR,"Westwater Resources, Inc.",6.3,$10.07M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wwr
